flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
85	B	1722697873.156234000	17	0x0000	8.8.8.8	192.168.1.200	53	58730
88	A	1722697874.455839000	17	0x0000	192.168.1.197	192.168.1.255	37237	15600
89	A	1722697874.483703000	17	0x0000	192.168.1.137	239.255.255.250	48774	1900
91	A	1722697875.090643000	17	0x0000	192.168.1.1	239.255.255.250	60535	1900
92	A	1722697875.849285000	17	0x0000	192.168.1.1	239.255.255.250	51054	1900
93	A	1722697877.317057000	17	0x0000	192.168.1.197	239.255.255.250	34441	15600
90	A	1722697874.672137000	17	0x0000	192.168.1.195	239.255.255.250	58623	1900
94	A	1722697880.394763000	17	0x0000	192.168.1.197	192.168.1.255	48557	15600
96	A	1722697880.949592000	17	0x0000	192.168.1.197	192.168.1.200	42857	58731
97	A	1722697882.148187000	17	0x0000	192.168.1.197	192.168.1.200	50662	58731
99	A	1722697882.999533000	17	0x0000	192.168.1.197	192.168.1.200	55176	58731
100	A	1722697883.342530000	17	0x0000	192.168.1.197	239.255.255.250	52649	15600
95	A	1722697880.946158000	17	0x0000	192.168.1.200	239.255.255.250	58731	1900
101	A	1722697884.085220000	17	0x0000	192.168.1.197	192.168.1.200	48098	58731
102	A	1722697885.089541000	17	0x0000	192.168.1.1	239.255.255.250	35943	1900
103	A	1722697885.840321000	17	0x0000	192.168.1.1	239.255.255.250	59526	1900
105	A	1722697886.319029000	17	0x0000	192.168.1.197	192.168.1.255	53567	15600
106	A	1722697889.318969000	17	0x0000	192.168.1.197	239.255.255.250	39384	15600
107	A	1722697892.376083000	17	0x0000	192.168.1.197	192.168.1.255	37590	15600
108	A	1722697893.623662000	17	0x0000	192.168.1.200	8.8.8.8	53478	53
108	B	1722697893.632530000	17	0x0000	8.8.8.8	192.168.1.200	53	53478
109	A	1722697895.320254000	17	0x0000	192.168.1.197	239.255.255.250	58516	15600
110	A	1722697896.089794000	17	0x0000	192.168.1.1	239.255.255.250	43001	1900
112	A	1722697896.779030000	2	0x0000	192.168.1.195	239.255.255.250	0	0
115	A	1722697896.899714000	2	0x0000	192.168.1.214	224.0.0.252	0	0
114	A	1722697896.839898000	17	0x0000	192.168.1.1	239.255.255.250	59432	1900
116	A	1722697898.417558000	17	0x0000	192.168.1.197	192.168.1.255	55772	15600
117	A	1722697901.321489000	17	0x0000	192.168.1.197	239.255.255.250	59316	15600
118	A	1722697901.728560000	17	0x0000	192.168.1.200	8.8.8.8	57442	53
118	B	1722697901.736602000	17	0x0000	8.8.8.8	192.168.1.200	53	57442
121	A	1722697904.226805000	0	0x0000	-	-	0	0
122	A	1722697904.364945000	17	0x0000	192.168.1.197	192.168.1.255	54084	15600
123	A	1722697904.364945000	0	0x0000	-	-	0	0
124	A	1722697905.213494000	0	0x0000	-	-	0	0
126	A	1722697906.340783000	0	0x0000	-	-	0	0
125	A	1722697906.089921000	17	0x0000	192.168.1.1	239.255.255.250	40862	1900
120	A	1722697904.225718000	0	0x0000	-	-	0	0
128	A	1722697906.839951000	17	0x0000	192.168.1.1	239.255.255.250	42372	1900
129	A	1722697907.340009000	17	0x0000	192.168.1.197	239.255.255.250	53999	15600
130	A	1722697910.398443000	17	0x0000	192.168.1.197	192.168.1.255	40033	15600
131	A	1722697912.494912000	17	0x0000	192.168.1.200	8.8.8.8	63040	53
131	B	1722697912.522127000	17	0x0000	8.8.8.8	192.168.1.200	53	63040
132	A	1722697913.355521000	17	0x0000	192.168.1.197	239.255.255.250	50039	15600
133	A	1722697916.440421000	17	0x0000	192.168.1.197	192.168.1.255	53047	15600
136	A	1722697917.089736000	17	0x0000	192.168.1.1	239.255.255.250	60007	1900
137	A	1722697917.839909000	17	0x0000	192.168.1.1	239.255.255.250	43132	1900
140	A	1722697919.342197000	17	0x0000	192.168.1.197	239.255.255.250	37822	15600
138	A	1722697918.386774000	17	0x0000	192.168.1.195	224.0.0.251	5353	5353
139	A	1722697918.386968000	17	0x0000	fe80::1f81:5bd2:139d:2c2d	ff02::fb	5353	5353
134	A	1722697916.669771000	17	0x0000	192.168.1.214	239.255.255.250	49405	1900
135	A	1722697916.673623000	17	0x0000	192.168.1.214	239.255.255.250	49407	1900
141	A	1722697922.379809000	17	0x0000	192.168.1.197	192.168.1.255	37382	15600
142	A	1722697925.343429000	17	0x0000	192.168.1.197	239.255.255.250	37537	15600
143	A	1722697927.090086000	17	0x0000	192.168.1.1	239.255.255.250	49702	1900
144	A	1722697927.840339000	17	0x0000	192.168.1.1	239.255.255.250	40460	1900
145	A	1722697928.428518000	17	0x0000	192.168.1.197	192.168.1.255	46629	15600
146	A	1722697931.344445000	17	0x0000	192.168.1.197	239.255.255.250	56637	15600
147	A	1722697934.360767000	17	0x0000	192.168.1.197	192.168.1.255	49062	15600
148	A	1722697934.482278000	17	0x0000	192.168.1.137	239.255.255.250	41708	1900
149	A	1722697934.901381000	17	0x0000	192.168.1.200	8.8.8.8	63989	53
149	B	1722697934.929536000	17	0x0000	8.8.8.8	192.168.1.200	53	63989
150	A	1722697934.930257000	17	0x0000	192.168.1.200	8.8.8.8	61384	53
150	B	1722697934.939910000	17	0x0000	8.8.8.8	192.168.1.200	53	61384
151	A	1722697937.345947000	17	0x0000	192.168.1.197	239.255.255.250	54579	15600
152	A	1722697938.090078000	17	0x0000	192.168.1.1	239.255.255.250	38152	1900
153	A	1722697938.841284000	17	0x0000	192.168.1.1	239.255.255.250	58932	1900
154	A	1722697940.402436000	17	0x0000	192.168.1.197	192.168.1.255	52612	15600
155	A	1722697942.577505000	17	0x0000	192.168.1.200	192.168.1.255	138	138
156	A	1722697943.346894000	17	0x0000	192.168.1.197	239.255.255.250	34852	15600
157	A	1722697945.743753000	17	0x0000	192.168.1.200	8.8.8.8	59442	53
157	B	1722697945.753576000	17	0x0000	8.8.8.8	192.168.1.200	53	59442
158	A	1722697946.348658000	17	0x0000	192.168.1.197	192.168.1.255	44348	15600
