flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
205	A	1722698002.798975000	17	0x0000	192.168.1.214	192.168.1.255	137	137
37	A	1722697812.843258000	0	0x0000	-	-	0	0
37	B	1722697898.352329000	0	0x0000	-	-	0	0
300	A	1722698132.405746000	17	0x0000	192.168.1.197	192.168.1.255	52732	15600
98	A	1722697882.189793000	2	0x0000	192.168.1.1	239.255.255.250	0	0
301	A	1722698135.387266000	17	0x0000	192.168.1.197	239.255.255.250	49714	15600
302	A	1722698137.093695000	17	0x0000	192.168.1.1	239.255.255.250	44896	1900
303	A	1722698137.842421000	17	0x0000	192.168.1.1	239.255.255.250	45594	1900
304	A	1722698138.447348000	17	0x0000	192.168.1.197	192.168.1.255	40648	15600
305	A	1722698141.388950000	17	0x0000	192.168.1.197	239.255.255.250	50580	15600
7	A	1722697781.271467000	0	0x0000	-	-	0	0
25	A	1722697802.365474000	17	0x0000	192.168.1.200	192.168.1.195	47808	51957
25	B	1722697808.168886000	17	0x0000	192.168.1.195	192.168.1.200	51957	47808
