flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
38	B	1722880163.625700966	6	0x031b	192.168.1.195	192.168.1.241	4840	60944
39	A	1722880163.631855682	6	0x011b	192.168.1.241	192.168.1.195	60956	4840
39	B	1722880163.635230984	6	0x0313	192.168.1.195	192.168.1.241	4840	60956
40	A	1722880163.641300234	6	0x011b	192.168.1.241	192.168.1.195	60964	4840
40	B	1722880163.644451217	6	0x0313	192.168.1.195	192.168.1.241	4840	60964
41	A	1722880168.649516439	6	0x011b	192.168.1.241	192.168.1.195	60976	4840
41	B	1722880168.653569828	6	0x031b	192.168.1.195	192.168.1.241	4840	60976
42	A	1722880168.669474142	6	0x011b	192.168.1.241	192.168.1.195	60984	4840
42	B	1722880168.677874677	6	0x031b	192.168.1.195	192.168.1.241	4840	60984
43	A	1722880168.690829127	6	0x011b	192.168.1.241	192.168.1.195	32768	4840
43	B	1722880168.704427560	6	0x031b	192.168.1.195	192.168.1.241	4840	32768
44	A	1722880168.716830586	6	0x011b	192.168.1.241	192.168.1.195	32778	4840
44	B	1722880168.719811751	6	0x031b	192.168.1.195	192.168.1.241	4840	32778
45	A	1722880168.730004602	6	0x011b	192.168.1.241	192.168.1.195	32794	4840
45	B	1722880168.733867742	6	0x031b	192.168.1.195	192.168.1.241	4840	32794
1	A	1722880127.941799529	6	0x0002	192.168.1.241	192.168.1.195	52378	2643
3	A	1722880127.941828588	6	0x0002	192.168.1.241	192.168.1.195	52378	48050
4	A	1722880127.941835493	6	0x0002	192.168.1.241	192.168.1.195	52378	49320
5	A	1722880127.941842543	6	0x0002	192.168.1.241	192.168.1.195	52378	62541
6	A	1722880127.941850250	6	0x0002	192.168.1.241	192.168.1.195	52378	53530
7	A	1722880127.941857533	6	0x0002	192.168.1.241	192.168.1.195	52378	4897
8	A	1722880127.941866098	6	0x0002	192.168.1.241	192.168.1.195	52378	4885
9	A	1722880129.089521038	6	0x0002	192.168.1.241	192.168.1.195	52380	4885
10	A	1722880129.089564695	6	0x0002	192.168.1.241	192.168.1.195	52380	4897
11	A	1722880129.089576332	6	0x0002	192.168.1.241	192.168.1.195	52380	53530
12	A	1722880129.089584321	6	0x0002	192.168.1.241	192.168.1.195	52380	62541
13	A	1722880129.089592113	6	0x0002	192.168.1.241	192.168.1.195	52380	49320
14	A	1722880129.089599088	6	0x0002	192.168.1.241	192.168.1.195	52380	48050
15	A	1722880129.089607326	6	0x0002	192.168.1.241	192.168.1.195	52380	2643
53	A	1722880169.426783342	17	0x0000	192.168.1.241	192.168.1.195	51551	31454
58	A	1722880169.553779170	6	0x0002	192.168.1.241	192.168.1.195	51491	43613
59	A	1722880169.578906187	6	0x0010	192.168.1.241	192.168.1.195	51492	43613
60	A	1722880169.604541472	6	0x8029	192.168.1.241	192.168.1.195	51493	43613
52	A	1722880169.376016483	1	0x0000	192.168.1.241	192.168.1.195	0	0
52	B	1722880169.379143481	1	0x0000	192.168.1.195	192.168.1.241	0	0
67	A	1722880171.845845769	17	0x0000	192.168.1.241	192.168.1.195	51551	34532
55	A	1722880169.477599505	6	0x0800	192.168.1.241	192.168.1.195	51488	4840
56	A	1722880169.502995962	6	0x102b	192.168.1.241	192.168.1.195	51489	4840
57	A	1722880169.528406848	6	0x0010	192.168.1.241	192.168.1.195	51490	4840
69	A	1722880171.972758753	6	0x0002	192.168.1.241	192.168.1.195	51491	30490
70	A	1722880171.998172208	6	0x0010	192.168.1.241	192.168.1.195	51492	30490
71	A	1722880172.023556634	6	0x8029	192.168.1.241	192.168.1.195	51493	30490
73	A	1722880172.726646660	17	0x0000	192.168.1.241	192.168.1.195	46070	1434
72	A	1722880172.720063339	6	0x011b	192.168.1.241	192.168.1.195	41924	4840
72	B	1722880172.723891489	6	0x0313	192.168.1.195	192.168.1.241	4840	41924
75	A	1722880183.212612430	17	0x0000	192.168.1.195	239.255.255.250	63850	1900
74	A	1722880179.729604586	6	0x011b	192.168.1.241	192.168.1.195	41936	4840
74	B	1722880179.733280506	6	0x0313	192.168.1.195	192.168.1.241	4840	41936
76	A	1722880186.754750539	6	0x031b	192.168.1.195	192.168.1.241	4840	660
76	B	1722880186.751450090	6	0x011b	192.168.1.241	192.168.1.195	660	4840
