Fichero pcap;Tipo de ataque L1->ataque seguro / L2 -> dependientes del contexto;Nº DE FLUJOS CON ATAQUE/S;Nº ATAQUES (INSTANCIAS) TOTALES;APP (Deteccion motor de aplicacion) relacionados;Attackids (sin repetición) (FIRMAS IPS);#Attackid (IPS);Número total de alertas (IPS);Nº FLUJOS DETECTADOS POR MOTOR IPS;Nº FLUJOS DETECTADOS  L2(APPLICATION CONTROL);ATAQUES NO DETECTADOS
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;L1;6;9;1459473;27536, 17714, 12449, 29247;1;;3;0;problema parametro -m (Truncado y pérdida de paquetes)
T0885-C&Cp502Ignition-HTTP_[1].pcapng;L1;4;5;-;49331, 12449;2;2;4;2;problema parametro -m (Truncado y pérdida de paquetes)
T0885-C&Cp20000RWin-TCP_[1].pcapng;L1;2;3;-;29247, 12449 ;1;;1;0;problema parametro -m (Truncado y pérdida de paquetes)
T0885-C&Cp102Ignition-TCP_[1].pcapng;L1;4;5;-;49331, 12449;2;4;4;2;problema parametro -m (Truncado y pérdida de paquetes)
